0,423116952800538	
3,28149834670977	
-0,362483630153621	
1,30609898091711
1,99770098690340	
-3,17260913690974	
0,678392884276529	
0,698658062372220
-0,0919268427932043	
-1,25559033419635	
1,67707694211932	
2,19157194275053
0,763570356144257	
1,37282865775880	
0,182346985309227	
0,505459963056212
1,19933474552617	
-0,437162535724492	
1,24564169004693	
-1,04434588332272
3,29243935686162	
-0,0269828921940600	
0,172728858827494	
1,96993675307708
0,489555571560002	
1,05013763533368	
-0,229958264658103	
0,737667309501148
2,91602781124695	
1,76610816627501	
0,0923259602821753	
6,49336076703123
-0,402038783381043
