1,92946498247324	
0,475066282034994	
0,729515634009362	
1,30041153004495	
-0,201981851446782	
1,46267520483502	
1,86557538379982	
-0,437861915387820	
0,630518634407455	
-0,310081596764661	
0,897051376273901	
-0,496452354493993	
0,0208649570333670	
1,87697579126392	
1,97925930240489	
0,575173656539584	
1,39471037655196	
1,14714120268233	
1,89108639315117	
1,07362621524870	
-0,380531769037335	
1,91072932574890	
0,505221547592616	
1,63836717969225	
-0,0646118889149218	
0,199572300000531	
1,49796258761079	
0,724138363321178	
1,28617908937237	
-0,168463182879094	
0,928393030976895	
0,960257124645082	
0,0332122350397404
